ticker,fast,slow,fee_bps,cagr,sharpe,max_dd,trades,final_equity
NVDA,30,180,5.0,0.7690218854981108,1.5617053094410664,-0.5648567150830262,7,296.7677587928539
NVDA,30,200,5.0,0.7464335328905303,1.5300988634383614,-0.4188350443330813,5,261.04537994867115
NVDA,30,160,5.0,0.7352497783240175,1.5185367165123909,-0.5388793470792155,9,244.83343737200764
NVDA,25,180,5.0,0.7278349338866699,1.5038501619671345,-0.57502214359003,9,234.5903581515359
NVDA,10,180,5.0,0.7264617841386085,1.5209644449499025,-0.5722927388109678,15,232.73633972110673
NVDA,20,140,5.0,0.7248658144209532,1.515725576731069,-0.5336956258622628,11,230.59804585327308
NVDA,10,200,5.0,0.724163317662901,1.5201023844386083,-0.48789895251712667,9,229.66245057854556
NVDA,25,160,5.0,0.7238248936671463,1.5049256773648756,-0.5250085128050119,11,229.2129528856411
NVDA,25,140,5.0,0.7139558369218297,1.4977333279916998,-0.5813894946024454,11,216.44792361091098
NVDA,5,200,5.0,0.7082785972816577,1.4971316657808726,-0.5396056134276079,13,209.39810027782107
NVDA,10,160,5.0,0.7074413504944232,1.492473895006117,-0.6200687377676468,17,208.37610369178225
NVDA,20,160,5.0,0.7072133925264428,1.4828794740728781,-0.507505747321549,17,208.0986222039558
NVDA,15,180,5.0,0.701091156169928,1.4786082326920804,-0.6084913844126181,13,200.76959315298072
NVDA,30,140,5.0,0.6989213572583834,1.472861740264541,-0.5768801176400999,11,198.22837882654025
NVDA,5,180,5.0,0.6967821615655281,1.484849303918713,-0.5508521343122033,21,195.7513763517341
NVDA,15,200,5.0,0.6945271007818998,1.4773642181481628,-0.48770455960541714,9,193.17039864863847
NVDA,25,200,5.0,0.6942844714875938,1.4617054875932176,-0.5145452649330914,9,192.89453559069875
NVDA,20,180,5.0,0.693175120563049,1.4650800636976868,-0.5914103463808191,11,191.63774319110772
NVDA,15,160,5.0,0.6913783636941666,1.4670152108200492,-0.6088031791149504,17,189.61780754392598
NVDA,15,140,5.0,0.6815478784851374,1.457131648774195,-0.4954166790377177,15,178.90151422651778
NVDA,30,120,5.0,0.6743920291496823,1.457267470577248,-0.5312011986494996,17,171.44699161087834
NVDA,20,120,5.0,0.6700402619646924,1.4560673279248921,-0.546051350282503,17,167.05144196295728
NVDA,20,200,5.0,0.6635819663450184,1.425427324863582,-0.572004603021802,9,160.71493643366313
NVDA,5,160,5.0,0.6547251195280883,1.4299768308732748,-0.5503291906804519,25,152.37678238845012
NVDA,10,100,5.0,0.6527903340628476,1.4576852648419463,-0.4528057185045089,33,150.60795987553632
NVDA,5,140,5.0,0.6483006561405202,1.4194416782183275,-0.5249887507610849,27,146.57437016188632
NVDA,25,120,5.0,0.6386143877183159,1.4095125430126756,-0.5833271796570388,17,138.2013059333929
NVDA,15,120,5.0,0.6347468406803964,1.3985316352175134,-0.45807410933298986,27,134.98015983150313
NVDA,30,100,5.0,0.6287339179136424,1.4062101352398584,-0.45857320483503017,25,130.10621102728382
NVDA,10,140,5.0,0.6237690557311286,1.3776104173505748,-0.6064941151160619,21,126.20179703767347
NVDA,10,120,5.0,0.605522730391894,1.3642828717086002,-0.49941724726378767,25,112.7417816380281
NVDA,15,100,5.0,0.6036585976976216,1.3747337393490087,-0.44892831666847466,25,111.44215176977065
NVDA,5,120,5.0,0.594775090703348,1.3563396025960837,-0.48971701559800973,35,105.43204303492791
NVDA,20,100,5.0,0.568019153604693,1.3125367352977113,-0.4910784758207196,31,89.05075675536833
NVDA,25,80,5.0,0.5676428680928634,1.3189753601861398,-0.5836225824551888,27,88.83771080282018
NVDA,20,80,5.0,0.5599345736171293,1.301681088451555,-0.6016720406609966,33,84.57312161419298
NVDA,25,60,5.0,0.5484984656175613,1.298130399646824,-0.5914540231428643,40,78.58501177121516
NVDA,10,40,5.0,0.541584753897614,1.323756695422739,-0.38081113673726397,64,75.15269400770401
NVDA,25,100,5.0,0.5399711821307522,1.2643426510027655,-0.5456132012657895,31,74.37131328334281
NVDA,30,60,5.0,0.533127357736592,1.2663368155718184,-0.6573164487823462,40,71.1377666560103
NVDA,30,80,5.0,0.5329475951420921,1.2624557097710387,-0.6036335678200301,27,71.05456535130487
NVDA,5,80,5.0,0.5201017247714275,1.2631881146063932,-0.4977343542734589,57,65.33079354856541
NVDA,5,60,5.0,0.5170076053393946,1.2607655278272178,-0.40425455780895014,69,64.01570811238474
NVDA,5,100,5.0,0.5165313211856482,1.2505697684029289,-0.48168888094502105,49,63.81540383489875
NVDA,10,60,5.0,0.4936821447579238,1.205842293781795,-0.4642828258206244,56,54.84340261560548
NVDA,30,40,5.0,0.4921344849225584,1.219086975507537,-0.46541218734575607,78,54.278908332890616
NVDA,15,60,5.0,0.47268799332270395,1.165582354183084,-0.6280221759473164,48,47.61808545571237
NVDA,20,60,5.0,0.465287490305742,1.164113772327871,-0.6436951223763425,44,45.283115519681715
NVDA,15,80,5.0,0.45766418835605993,1.137968283985339,-0.6423337400692104,39,42.986062926305095
NVDA,10,80,5.0,0.4551078515815776,1.136551871960448,-0.6217891858706635,45,42.23959971060304
NVDA,5,40,5.0,0.44647024374011024,1.169373800116709,-0.3877196020656798,92,39.80286147586671
NVDA,20,40,5.0,0.4087134389097695,1.0771577596827975,-0.5743303323796638,58,30.568473138218494
NVDA,25,40,5.0,0.40195750295051713,1.065739427893759,-0.5684057985975892,66,29.13648021660878
NVDA,15,40,5.0,0.39536789438822884,1.0598319669819598,-0.48247366517636137,60,27.79818583848723
