ticker,fast,slow,fee_bps,cagr,sharpe,max_dd,trades,final_equity
SPY,20,180,5.0,0.09906116316348368,0.8053635305424277,-0.26668422110647183,15,2.716347021911347
SPY,15,180,5.0,0.09717908058263092,0.8245314181079215,-0.21786969501354891,21,2.667537742302496
SPY,5,180,5.0,0.09641064880443317,0.8607276538456232,-0.24031963163908476,29,2.6478388599386844
SPY,10,100,5.0,0.09577613588659917,0.8609355116055537,-0.2192892937816312,33,2.63167240141261
SPY,5,160,5.0,0.0952602037129342,0.8501703175828446,-0.2201427812069895,33,2.6185931461925605
SPY,5,120,5.0,0.09396934180477023,0.853393524665696,-0.19789586853568297,37,2.5861263202832996
SPY,5,140,5.0,0.09364766855156281,0.8493312345524385,-0.2204606439059812,37,2.578092768907867
SPY,5,200,5.0,0.09318729184829788,0.813464640797575,-0.19808391827166139,27,2.566634511326035
SPY,10,200,5.0,0.09303909479414885,0.8050280174667775,-0.20338157792385325,19,2.5629558766822162
SPY,25,180,5.0,0.09088364194137366,0.7207470308549756,-0.2966220882621242,13,2.509988879341129
SPY,15,200,5.0,0.09069099948190473,0.7582227203386614,-0.2927014770547435,13,2.5053035763677225
SPY,30,180,5.0,0.0898886426461456,0.7159742318744079,-0.3161575108046527,13,2.485874324254029
SPY,25,160,5.0,0.08976825287145873,0.7154363642336273,-0.2910976480312959,17,2.482970859979024
SPY,20,200,5.0,0.08787230640985966,0.7047498587011206,-0.341307761647205,15,2.437649062510087
SPY,10,120,5.0,0.08692425614236088,0.7794419241723103,-0.22274565523032985,29,2.4152684386417995
SPY,10,80,5.0,0.08665569345070323,0.7887026450042862,-0.20603389221132384,41,2.4089623873294475
SPY,30,160,5.0,0.0844788270206096,0.6698173757462094,-0.3133035201667643,15,2.3583954946846712
SPY,15,160,5.0,0.0844133232650679,0.7226750548946098,-0.23741927405946273,21,2.3568889024495974
SPY,10,180,5.0,0.08433213290678632,0.7374710808967336,-0.2154887101263433,21,2.35502272647401
SPY,10,140,5.0,0.08002762596732937,0.7167669239163034,-0.2593624093553504,27,2.2579776409408816
SPY,15,60,5.0,0.07988268627427852,0.7378163252201295,-0.24757282614050746,51,2.2547739355067815
SPY,20,60,5.0,0.07985833309066392,0.7232390175496135,-0.2674887638392375,45,2.254236043779236
SPY,20,160,5.0,0.07975383121081903,0.6643727258278086,-0.2666842211064717,19,2.2519292168123504
SPY,25,200,5.0,0.07921551326386922,0.6354381506245318,-0.3359436481418232,13,2.240079946071761
SPY,15,80,5.0,0.07858895475488192,0.7097094233485929,-0.22658047413896087,35,2.2263594680652545
SPY,5,100,5.0,0.07840009160905836,0.7314561904397836,-0.24710012076935317,47,2.2222386642782004
SPY,10,160,5.0,0.07822794851609705,0.6950792891264692,-0.2680491266971037,27,2.218488692784638
SPY,30,200,5.0,0.07741363317441241,0.6241255232152699,-0.33302425186261364,11,2.200827158879326
SPY,15,140,5.0,0.07717362853481458,0.6758777193855668,-0.2144404745811328,27,2.1956460897216843
SPY,15,40,5.0,0.07692616573628364,0.7264380625974726,-0.19398485539116206,63,2.190315585083646
SPY,25,120,5.0,0.07688151571565016,0.635182967095221,-0.26668422110647183,21,2.1893550443412577
SPY,10,40,5.0,0.07663675899249567,0.7336314710760388,-0.1632427916111373,73,2.184096448670681
SPY,25,60,5.0,0.07547000256196035,0.6760397690740931,-0.27843008273545566,41,2.159185555214299
SPY,5,40,5.0,0.0741457025661918,0.7222098965510233,-0.15115083044025823,89,2.1312229452133336
SPY,20,100,5.0,0.0732105233790119,0.6387064566671783,-0.21993510962441465,27,2.1116746071298045
SPY,15,120,5.0,0.07160877921103936,0.6421401999003016,-0.2210724477444166,23,2.0785696953360357
SPY,30,140,5.0,0.07108022593667229,0.5803188044478513,-0.31760756605802487,19,2.0677491052617056
SPY,25,140,5.0,0.07052195624143831,0.5846207630163551,-0.2914520992072803,21,2.056375568083726
SPY,5,80,5.0,0.06986696838930495,0.6705514942645814,-0.2254650988537492,57,2.043103843502785
SPY,25,40,5.0,0.0687624890084304,0.6425170447440086,-0.2672106538715303,57,2.020899830065817
SPY,20,40,5.0,0.0686561362538205,0.6443735862117326,-0.2819952124542937,59,2.0187733322201944
SPY,5,60,5.0,0.06858596389883909,0.668524163657762,-0.219525431097366,77,2.017371362462734
SPY,20,140,5.0,0.06853868346165082,0.5906612082355486,-0.3135039298499688,23,2.0164272462861708
SPY,20,80,5.0,0.06833672602949559,0.6110024430877079,-0.24131552201245554,33,2.012398975704827
SPY,30,80,5.0,0.0674430693454795,0.5876735746682747,-0.261884756471341,27,1.9946612921922
SPY,25,80,5.0,0.06580001038345507,0.579106422304493,-0.2625877487610544,35,1.9624181284726858
SPY,30,120,5.0,0.0655214231840846,0.5401256987656665,-0.29109764803129623,21,1.9569982077597017
SPY,30,40,5.0,0.06402164323072856,0.5906538824376936,-0.307212422614096,67,1.9280521510040987
SPY,30,100,5.0,0.06277495995210924,0.5308537957039252,-0.2666842211064717,23,1.9042865855340172
SPY,20,120,5.0,0.06025405862115596,0.5275599889802761,-0.31862348816113695,23,1.8570391944508757
SPY,15,100,5.0,0.05995226195594072,0.5490298941182417,-0.26867847601933625,31,1.851454580652235
SPY,10,60,5.0,0.0588920463003999,0.5782747549568201,-0.2191216642027337,59,1.8319560945582238
SPY,30,60,5.0,0.05610326822899259,0.51350796246511,-0.3490385844301588,45,1.7815520633572706
SPY,25,100,5.0,0.049453237764348845,0.443846184554369,-0.2927014770547437,23,1.6663882742998968
